Title,Summary,Type,Programme,Theme,Status,Date,Contact,Orgs involved,Country,Notes,Link,Region,Primary study / Review,Internal / External,Language,Eligibility,Accessibility,License information,Evidence against the intervention?,Study Design,Population,Interventions,"Intervention(s) - this captures the intervention category from the I/O spreadsheet; [if there is more than one intervention described, suggest we separate with a "";""]",Specific intervention,Outcomes,Outcome(s) - this captures the outcome category from the I/O spreadsheet; yellow highlights indicate new outcomes,Specific outcomes,Strength of Evidence
Retention and mortality outcomes from a community supported public – private HIV treatment programme in Myanmar,"This article describes a public–private partnership that was developed to expand HIV care capacity in Yangon, Myanmar. The partnership was between private sector general practitioners (GPs) and a community-based non-governmental organization (International HIV/AIDS Alliance).",Research (published),,HIV care capacity,Completed,2016,,Alliance Myanmar,Myanmar,"Journal of International AIDS Society, Vol 19, No 1 (2016)",https://dx.doi.org/10.7448%2FIAS.19.1.20926,,Primary study,Internal,en,Y,Open access,© 2016 Mburu G et al; licensee International AIDS Society. This is an Open Access article distributed under the terms of the Creative Commons Attribution3.0 Unported (CC BY 3.0) License (http://creativecommons.org/licenses/by/3.0/),No,Observational (longitudinal assessment of clinical outcomes),High risk populations; PLHIV,2;12,"HIV care, testing and treatment (incl. adherence and monitoring) services; Mobilization, education and norms change interventions (incl. behavioural and empowerment interventions)",,10,Improved retention in care on ART,"Loss to follow-up, CD4 countresponse (as a proxy for ART success given the lack of routineviral load measurements) and mortality during follow-up",Moderate
Resisting and challenging stigma in Uganda: the role of support groups of people living with HIV,"Global scale up of antiretroviral therapy is changing the context of HIV-related stigma. However, stigma remains an ongoing concern in many countries. Groups of people living with HIV can contribute to the reduction of stigma. However, the pathways through which they do so are not well understood.",Research (published),,Stigma and discrimination,Completed,2013,Gitau Mburu,Alliance Secretariat,Uganda,"Journal of the International AIDS Society 2013, 16(Suppl 2):18636",https://dx.doi.org/10.7448%2FIAS.16.3.18636,,Primary study,Internal,en,Y,Open access,"© 2013 Mburu G et al; licensee International AIDS Society. This is an Open Access article distributed under the terms of the Creative Commons Attribution
3.0 Unported (CC BY 3.0) License (http://creativecommons.org/licenses/by/3.0/)",No ,"Observational (focus groups, interviews; thematic analysis)",PLHIV; their networks,12;13,"Mobilization, education and norms change interventions (incl. behavioural and empowerment interventions); Interventions addressing stigma, discrimination and violence, including gender-based violence prevention and treatment programs","Groups of people living with HIV mobilized their peers;
provided community education; acted as patient ushers at
HIV clinics; visited homes of people living with HIV; counselled
household members on how to care for people living with
HIV without prejudice; and performed HIV sensitization
campaigns aimed at their communities.",17;40;44;45,Increased knowledge about HIV; Reduced discrimination and stigma around HIV; Increase in capacity of communities to be safe and supportive; Positive social transformation (community level),,Moderate
Pioneering HIV services for and with men having sex with men in MENA,"A case study about empowering and increasing access to quality HIV prevention, care and support to MSM in a hostile environment",Case study,MENA,KP:MSM,Completed,2017,Manuel Couffignal,"USAID, Alliance and PEPFAR","Algeria; Lebanon; Morocco; Tunisia",Noted on additons to evidence pipeline doc,http://www.aidsalliance.org/assets/000/002/946/Alliance_MENA_MSM_Case_study-V7_original.pdf,,Primary study,Internal,en,Y,Open access,"© International HIV/AIDS Alliance, 2017Information contained in this publication may be freely reproduced, published or otherwise used for nonprofitpurposes without permission from the International HIV/AIDS Alliance. However, the InternationalHIV/AIDS Alliance requests that it be cited as the source of the information.",Yes,Observational (aggregated data as recorded from program - exact methods unclear),MSM,1;2;7;11;12,"Condoms (male and female) and lubricant programming; HIV care, testing and treatment (incl. adherence and monitoring) services; Diagnosis and treatment of sexually transmitted infections (other than HIV) and other sexual health services; Counseling and psycho-social support interventions; Mobilization, education and norms change interventions (incl. behavioural and empowerment interventions)",,21;25;34;35,Increased access to condoms; Increased access to voluntary counselling and testing; Increased access to mental health support; Increased access to STI screening,,Low
Only connect--the role of PLHIV group networks in increasing the effectiveness of Ugandan HIV services.,"In recent years, Uganda has experienced rapid growth in networked groups of PLHIV who provide support, engage in advocacy, treatment and care and raise the profile of HIV in the public domain. This study focused the benefits of joining a networked group, relationships between groups, impact of networked groups on the community and shaping private and public experience living with HIV. ",Research (published),,"KP:PLHIV, network support",Completed,2012,Ian Hodgson,Alliance Secretariat,Uganda,AIDS Care. 2012 Nov; 24(11): 1368–1374.,https://dx.doi.org/10.1080%2F09540121.2012.656568,,Primary study,Internal,en,Y,Open access,"© 2012 Taylor & Francis. This is an open access article distributed under the Supplemental Terms and Conditions for iOpenAccess articles published in Taylor & Francis journals, which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.",No,"Observational (focus groups, interviews, observations and reviews; thematic analysis)",PLHIV,12,"Mobilization, education and norms change interventions (incl. behavioural and empowerment interventions)",,40;44;45,Reduced discrimination and stigma around HIV; Increase in capacity of communities to be safe and supportive; Positive social transformation (community level),,Low
Intersectionality of HIV stigma and masculinity in eastern Uganda: implications for involving men in HIV programmes.,"Some notions of masculinity can disadvantage men in terms of health outcomes. However, few studies have explored the extent to which these two axes of social inequality intersect to influence men’s health outcomes. This paper investigates the intersection of HIV stigma and masculinity, and its perceived impact on men’s participation in and utilisation of HIV services in Uganda.",Research (published),,Stigma and discrimination,Completed,2014,Gitau Mburu,Alliance Secretariat,Uganda,BMC Public Health201414:1061,https://doi.org/10.1186/1471-2458-14-1061,,Primary study,Internal,en,Y,Open access,© 2014 Mburu et al.; licensee BioMed Central Ltd. This is an Open Access article distributed under the terms of the CreativeCommons Attribution License (http://creativecommons.org/licenses/by/4.0),No ,"Observational (focus groups, interviews; thematic analysis)",PLHIV,12,"Mobilization, education and norms change interventions (incl. behavioural and empowerment interventions)",peer support,40,Reduced discrimination and stigma around HIV,,Moderate
"Increasing Uptake of HIV, Sexually Transmitted Infection, and Family Planning Services, and Reducing HIV-Related Risk Behaviors Among Youth Living With HIV in Uganda.","To address barriers to care for youth living with HIV (YLHIV), the Link Up project implemented a peer-led intervention model that provided a comprehensive package of HIV and sexual and reproductive health and rights services through community-based peer support groups for YLHIV. ",Research (published),Link-Up,"YLHIV, Family Planning",Completed,2017,,"Alliance Secretariat, Population Council, CHDC, Marie Stopes, Uganda Network of Young PLHIV",Uganda,Stud Fam Plann. 2017 Mar 6. doi: 10.1111/sifp.12019. [Epub ahead of print],https://doi.org/10.1016/j.jadohealth.2016.09.007,,Primary study,Internal,en,Y,Open access,© 2016 Society for Adolescent Health and Medicine,No ,Observational (baseline and endpoint comparison design; pre-post cohort),YLHIV,11;12,"Counseling and psycho-social support interventions; Mobilization, education and norms change interventions (incl. behavioural and empowerment interventions)",peer support,17;20;18;1;5;19,"Increased knowledge about HIV; Other (not closely related to HIV,  e.g. self esteem, access to formal education, employment, etc.) [Increased self-efficacy]; Positive behaviour change (individual level); Increased condom use; Improved adherence to ART; Improved sexual and reproductive health (e.g. reduction in STIs, increased use of reproduction options) outcomes",Increased self-efficacy,Moderate
Improving prevention and care for HIV and sexually transmitted infections among men who have sex with men in Cambodia: the sustainable action against HIV and AIDS in communities ,The prevalence of HIV and sexually transmitted infections among key populations in Cambodia continues to rise. KHANA developed and implemented the Sustainable Action against HIV and AIDS in Communities (SAHACOM) project. This study aims to determine the impacts of the SAHACOM on sexual behaviors and the uptake of HIV/STI services among men who have sex with men in Cambodia.,Research (published),,KP: MSM,Completed,2016,Yi Siyan ,KHANA,Cambodia,BMC Health Serv Res. 2016 Oct 21;16(1):599.,https://doi.org/10.1186/s12913-016-1857-9,,Primary study,Internal,en,Y,Open access,"© The Author(s). 2016 Open Access This article is distributed under the terms of the Creative Commons Attribution 4.0
International License (http://creativecommons.org/licenses/by/4.0/)",No ,Observational (Midterm and endpoint comparison design),MSM,1;2;7;12,"Condoms (male and female) and lubricant programming; HIV care, testing and treatment (incl. adherence and monitoring) services; Diagnosis and treatment of sexually transmitted infections (other than HIV) and other sexual health services; Mobilization, education and norms change interventions (incl. behavioural and empowerment interventions)",,17;20;18;1;5;19,"Increased knowledge about HIV; Other (not closely related to HIV,  e.g. self esteem, access to formal education, employment, etc.) [Increased self-efficacy]; Positive behaviour change (individual level); Increased condom use; Improved adherence to ART; Improved sexual and reproductive health (e.g. reduction in STIs, increased use of reproduction options) outcomes",Increased self-efficacy,Moderate
Health and Socio-economic Impacts of Livelihoods Programs among People Living with HIV in Cambodia: A Case-Control Study.," In Cambodia, the circumstances surrounding PLHIV remain serious conditions. KHANA has implemented livelihoods programs since 2010. This study aims to evaluate the impacts of the programs in improving socio-economic conditions, health, and psychological well-being of PLHIV in Cambodia.",Research (published),,"PLHIV, Livelihood",Completed,2016,Yi Siyan ,KHANA,Cambodia,"American Journal of Public Health Research
Vol. 4, No. 5, 2016, pp 159-169",http://www.sciepub.com/AJPHR/content/4/5,,Primary study,Internal,en,Y,Closed access,© Science and Education Publishing,No,Quasi-experimental (Unmatch case-control study),PLHIV,15,Socioeconomic approaches,Livelihoods intervention,20,"Other (not closely related to HIV,  e.g. self esteem, access to formal education, employment, etc.) [Increased food security, increased school adherence, increased economic security]","Increased food security, increased school adherence, increased economic security",Moderate
Expanding the role of community mobilization to accelerate progress towards ending vertical transmission of HIV in Uganda: the Networks model.,"In the context of current shortfalls in the prevention of vertical HIV transmission, this paper presents the results of the Networks project, a community mobilisation model implemented by the International HIV/AIDS Alliance in Uganda, and draws out the theoretical foundations and promising community mobilization practices relevant to prevention of vertical transmission.",Research (published),Link-Up,"Community mobilization, HIV",Completed,2012,Gitau Mburu,Alliance Secretariat,Uganda,J Int AIDS Soc. 2012 Jul 11;15 Suppl 2:17386. doi: 10.7448/IAS.15.4.17386.,https://dx.doi.org/10.7448%2FIAS.15.4.17386,,Primary study,Internal,en,Y,Open access,© 2012 Gitau-Mburu D et al; licensee International AIDS Society. This is an open access article distributed under the terms of the Creative Commons Attribution License (http://creativecommons.org/licenses/by-nc/3.0/),No,Observational (Retrospective evaluation) ,PLHIV,12,"Mobilization, education and norms change interventions (incl. behavioural and empowerment interventions)",,6;7;17;18;44;45,Increased use of voluntary counselling and testing; Increased use of PMTCT sevices; Increased knowledge about HIV; Positive behaviour change (individual level); Increase in capacity of communities to be safe and supportive; Positive social transformation (community level) ,"the Networks model increased the uptake of decentralized
interventions for preventing vertical transmission through community referrals; promoted male involvement through peer sensitisation; and linked communities to advocacy channels for advancing maternal health and prevention of vertical HIV transmission",Low
Encouraging Young Married Women (15-24 Years) to Improve Intra-Spousal Communication and Contraceptive Usage through Community Based Intervention Package in Rural India, The present study was conducted to understand the effect of a community based intervention package on awareness and motivation for contraceptive use to delay pregnancy among young married couples through improving intra-spousal communication.,Research (published),,"Young married women, contraception, community intervention",Completed,2016,,MAMTA,India,Journal of Contraceptive Studies. 2016;1:4,http://contraceptivestudies.imedpub.com/encouraging-young-married-women1524-years-to-improve-intraspousalcommunication-and-contraceptive-usagethrough-community-based-inte.php?aid=11144,,Primary study,Internal,en,Y,Closed access,© Copyright iMedPub,No,"Quasi-experimental (Unmatch case-control study – 2 intervention arms in two geographic locations, one control arm; population-based household surveys) ",Youth; Young women,12,"Mobilization, education and norms change interventions (incl. behavioural and empowerment interventions)",Communication intervention,19,"Improved sexual and reproductive health (e.g. reduction in STIs, increased use of reproduction options) outcomes",,Low
"Bringing testing to the people - benefits of mobile unit HIV/syphilis testing in Lima, Peru, 2007–2009","Our study aimed to evaluate demographic and behavioral characteristics and HIV and syphilis prevalence and associated factors of a non-profit HIV/STI testing MU in Lima, Peru to determine whether mobile testing could provide an effective complement to traditional, clinic-based testing services.",Research (published),,Mobile testing,Completed,2014,Robinson Cabello,Via Libre,Peru,Int J STD AIDS. 2014 Apr; 25(5): 325–331.,https://dx.doi.org/10.1177%2F0956462413507443,,Primary study,Internal,en,Y,Closed access,© Copyright SAGE Publications,No ,Quasi -experimental (non-equivalent groups comparison; Survey),High risk populations; MSM; Transgender women,2;7,"HIV care, testing and treatment (incl. adherence and monitoring) services; Diagnosis and treatment of sexually transmitted infections (other than HIV) and other sexual health services",Mobile units offering HIV/STI testing services and voluntary counseling and reference services,6;26;35,increased use of couseling and testing; increased access to ART; increased access to STI screening,"Primary outcomes were HIV and syphilis prevalence and HIV prevalence among participants who have never before
been tested for HIV (first-time testers) in the MU; providing HIV and Syphilis treatment",Moderate
Community Systems Strengthening for HIV Care: Experiences From Uganda,"In Uganda, where the number of people with HIV is increasing against a background of weak health systems, the role of community systems is poorly understood. We investigated the role of community systems in palliative care and the system elements required for an effective community response in Uganda.",Research (published),,"Community mobilization, HIV",Completed,2013,Gitau Mburu,Alliance Secretariat,Uganda,J Soc Work End Life Palliat Care. 2013 Oct; 9(4): 343–368.,https://doi.org/10.1080/15524256.2013.846889,,Primary study,Internal,en,Y,Open access,"© Copyright Gitau Mburu, Danielle Oxenham, Ian Hodgson, Alice Nakiyemba, Janet Seeley, and Alvaro Bermejo",No ,Observational (Focus groups; interviews),PLHIV; recipients of palliative care and their families,2;8;11,"HIV care, testing and treatment (incl. adherence and monitoring) services; prevention, diagnosis and treatment of opportunistic infections; couselling and psycho-social support",community based pallitive care,26;34;20;5,increased access to ART; increased access to mental health support; other (care of children after death of parents); other (increased nutrition); other (increased livelihood support); improved adherence to ART,"personal care, treatment access and adherence support, financial support, bereavement support, and care of children after the death of their parents; linking people living
with HIV to a comprehensive range of services—including treatment, nutrition, and livelihood support.",Moderate
Effect of an Online Video-Based Intervention to Increase HIV Testing in Men Who Have Sex with Men in Peru,"Although many men who have sex with men (MSM) in Peru are unaware of their HIV status, they are frequent users of the Internet, and can be approached by that medium for promotion of HIV testing",Research (published),,,Completed,2010,Robinson Cabello,Via Libre,Peru,PLoS One. 2010; 5(5): e10448.,https://dx.doi.org/10.1371%2Fjournal.pone.0010448,,Primary study,Internal,en,Y,Open access,© Copyright Blas et al. ,No,"Experimental (RCT)
",MSM,12,"Mobilization, education, and norms change",HIV-testing motivational videos,6,Increased use of voluntary conselling and testing,visit to the clinic to get testing,HIgh
