Title,Summary,Authors,Type,Theme,Status,Date,Orgs involved,Country,Notes,Link,Region,Primary study / Review,Internal / External,Language,Eligibility,Accessibility,License information,Evidence against the intervention?,Study Design,Population,Interventions,Specific intervention,Outcomes,Specific outcomes,Strength of Evidence
Retention and mortality outcomes from a community supported public - private HIV treatment programme in Myanmar,"This article describes a public-private partnership that was developed to expand HIV care capacity in Yangon, Myanmar. The partnership was between private sector general practitioners (GPs) and a community-based non-governmental organization (International HIV/AIDS Alliance).",,Research (published),HIV care capacity,Completed,2016,Alliance Myanmar,Myanmar,"Journal of International AIDS Society, Vol 19, No 1 (2016)",https://dx.doi.org/10.7448%2FIAS.19.1.20926,,Primary study,Internal,en,Y,Open access,� 2016 Mburu G et al; licensee International AIDS Society. This is an Open Access article distributed under the terms of the Creative Commons Attribution3.0 Unported (CC BY 3.0) License (http://creativecommons.org/licenses/by/3.0/),No,Observational (longitudinal assessment of clinical outcomes),People living with HIV,2;12,,10,"Loss to follow-up, CD4 countresponse (as a proxy for ART success given the lack of routineviral load measurements) and mortality during follow-up",Moderate
Resisting and challenging stigma in Uganda: the role of support groups of people living with HIV,"Global scale up of antiretroviral therapy is changing the context of HIV-related stigma. However, stigma remains an ongoing concern in many countries. Groups of people living with HIV can contribute to the reduction of stigma. However, the pathways through which they do so are not well understood.",,Research (published),Stigma and discrimination,Completed,2013,Alliance Secretariat,Uganda,"Journal of the International AIDS Society 2013, 16(Suppl 2):18636",https://dx.doi.org/10.7448%2FIAS.16.3.18636,,Primary study,Internal,en,Y,Open access,� 2013 Mburu G et al; licensee International AIDS Society. This is an Open Access article distributed under the terms of the Creative Commons Attribution 3.0 Unported (CC BY 3.0) License (http://creativecommons.org/licenses/by/3.0/),No ,"Observational (focus groups, interviews; thematic analysis)",People living with HIV,12;13,Groups of people living with HIV mobilized their peers; provided community education; acted as patient ushers at HIV clinics; visited homes of people living with HIV; counselled household members on how to care for people living with HIV without prejudice; and performed HIV sensitization campaigns aimed at their communities.,17;40;44;45,,Moderate
Pioneering HIV services for and with men having sex with men in MENA,"<p>This case study documents experiences and lessons learned from the implementation of a pioneering community-based programme that created access to quality HIV prevention, care and support services for men who have sex with men (MSM)  in the Middle East North Africa (MENA) region.</p><p> Led by the International HIV/AIDS Alliance (the Alliance), the ten year programme (2005_2015), _Responding to Key Populations in the MENA Region_ was implemented by eight partner civil society organisations in four MENA countries _ Algeria, Lebanon, Morocco and Tunisia. The programme was the first of its kind in the MENA region to work with MSM to introduce access to information, commodities, services and support needed to improve their health and wellbeing. </p>",,Case study,KP:MSM,Completed,2017,"USAID, Alliance and PEPFAR",Algeria; Lebanon; Morocco; Tunisia,Noted on additons to evidence pipeline doc,http://www.aidsalliance.org/assets/000/002/946/Alliance_MENA_MSM_Case_study-V7_original.pdf,,Primary study,Internal,en,Y,Open access,"� International HIV/AIDS Alliance, 2017Information contained in this publication may be freely reproduced, published or otherwise used for nonprofitpurposes without permission from the International HIV/AIDS Alliance. However, the InternationalHIV/AIDS Alliance requests that it be cited as the source of the information.",Yes,Observational (aggregated data as recorded from program - exact methods unclear),Men who have sex with men,1;2;7;11;12,,21;25;34;35,,Low
Only connect - the role of PLHIV group networks in increasing the effectiveness of Ugandan HIV services,"In recent years, Uganda has experienced rapid growth in networked groups of PLHIV who provide support, engage in advocacy, treatment and care and raise the profile of HIV in the public domain. This study focused the benefits of joining a networked group, relationships between groups, impact of networked groups on the community and shaping private and public experience living with HIV. ",,Research (published),"KP:PLHIV, network support",Completed,2012,Alliance Secretariat,Uganda,AIDS Care. 2012 Nov; 24(11): 1368-1374.,https://dx.doi.org/10.1080%2F09540121.2012.656568,,Primary study,Internal,en,Y,Open access,"� 2012 Taylor & Francis. This is an open access article distributed under the Supplemental Terms and Conditions for iOpenAccess articles published in Taylor & Francis journals, which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.",No,"Observational (focus groups, interviews, observations and reviews; thematic analysis)",People living with HIV,12,,40;44;45,,Low
Intersectionality of HIV stigma and masculinity in eastern Uganda: implications for involving men in HIV programmes,"Some notions of masculinity can disadvantage men in terms of health outcomes. However, few studies have explored the extent to which these two axes of social inequality intersect to influence men's health outcomes. This paper investigates the intersection of HIV stigma and masculinity, and its perceived impact on men's participation in and utilisation of HIV services in Uganda.",,Research (published),Stigma and discrimination,Completed,2014,Alliance Secretariat,Uganda,BMC Public Health201414:1061,https://doi.org/10.1186/1471-2458-14-1061,,Primary study,Internal,en,Y,Open access,� 2014 Mburu et al.; licensee BioMed Central Ltd. This is an Open Access article distributed under the terms of the CreativeCommons Attribution License (http://creativecommons.org/licenses/by/4.0),No ,"Observational (focus groups, interviews; thematic analysis)",People living with HIV,12,peer support,40,,Moderate
"Increasing uptake of HIV, sexually transmitted infection, and family planning services, and reducing HIV-related risk behaviors among youth living with HIV in Uganda","To address barriers to care for youth living with HIV (YLHIV), the Link Up project implemented a peer-led intervention model that provided a comprehensive package of HIV and sexual and reproductive health and rights services through community-based peer support groups for YLHIV. ",,Research (published),"YLHIV, Family Planning",Completed,2017,"Alliance Secretariat, Population Council, CHDC, Marie Stopes, Uganda Network of Young PLHIV",Uganda,Stud Fam Plann. 2017 Mar 6. doi: 10.1111/sifp.12019. [Epub ahead of print],https://doi.org/10.1016/j.jadohealth.2016.09.007,,Primary study,Internal,en,Y,Open access,� 2016 Society for Adolescent Health and Medicine,No ,Observational (baseline and endpoint comparison design; pre-post cohort),People living with HIV;Young people,11;12,peer support,17;20;18;1;5;19,Increased self-efficacy,Moderate
Improving prevention and care for HIV and sexually transmitted infections among men who have sex with men in Cambodia: the sustainable action against HIV and AIDS in communities ,The prevalence of HIV and sexually transmitted infections among key populations in Cambodia continues to rise. KHANA developed and implemented the Sustainable Action against HIV and AIDS in Communities (SAHACOM) project. This study aims to determine the impacts of the SAHACOM on sexual behaviors and the uptake of HIV/STI services among men who have sex with men in Cambodia.,,Research (published),KP: MSM,Completed,2016,KHANA,Cambodia,BMC Health Serv Res. 2016 Oct 21;16(1):599.,https://doi.org/10.1186/s12913-016-1857-9,,Primary study,Internal,en,Y,Open access,� The Author(s). 2016 Open Access This article is distributed under the terms of the Creative Commons Attribution 4.0 International License (http://creativecommons.org/licenses/by/4.0/),No ,Observational (Midterm and endpoint comparison design),Men who have sex with men,1;2;7;12,,17;20;18;1;5;19,Increased self-efficacy,Moderate
Health and socio-economic impacts of livelihoods programs among people living with HIV in Cambodia: A case-control study,"In Cambodia, the circumstances surrounding PLHIV remain serious conditions. KHANA has implemented livelihoods programs since 2010. This study aims to evaluate the impacts of the programs in improving socio-economic conditions, health, and psychological well-being of PLHIV in Cambodia.",,Research (published),"PLHIV, Livelihood",Completed,2016,KHANA,Cambodia,"American Journal of Public Health Research Vol. 4, No. 5, 2016, pp 159-169",http://www.sciepub.com/AJPHR/content/4/5,,Primary study,Internal,en,Y,Closed access,� Science and Education Publishing,No,Quasi-experimental (Unmatch case-control study),People living with HIV,15,Livelihoods intervention,20,"Increased food security, increased school adherence, increased economic security",Moderate
Expanding the role of community mobilization to accelerate progress towards ending vertical transmission of HIV in Uganda: the Networks model,"In the context of current shortfalls in the prevention of vertical HIV transmission, this paper presents the results of the Networks project, a community mobilisation model implemented by the International HIV/AIDS Alliance in Uganda, and draws out the theoretical foundations and promising community mobilization practices relevant to prevention of vertical transmission.",,Research (published),"Community mobilization, HIV",Completed,2012,Alliance Secretariat,Uganda,J Int AIDS Soc. 2012 Jul 11;15 Suppl 2:17386. doi: 10.7448/IAS.15.4.17386.,https://dx.doi.org/10.7448%2FIAS.15.4.17386,,Primary study,Internal,en,Y,Open access,� 2012 Gitau-Mburu D et al; licensee International AIDS Society. This is an open access article distributed under the terms of the Creative Commons Attribution License (http://creativecommons.org/licenses/by-nc/3.0/),No,Observational (Retrospective evaluation),People living with HIV,12,,6;7;17;18;44;45,the Networks model increased the uptake of decentralized interventions for preventing vertical transmission through community referrals; promoted male involvement through peer sensitisation; and linked communities to advocacy channels for advancing maternal health and prevention of vertical HIV transmission,Low
Encouraging young married women (15-24 Years) to improve intra-spousal communication and contraceptive usage through community based intervention package in rural India, The present study was conducted to understand the effect of a community based intervention package on awareness and motivation for contraceptive use to delay pregnancy among young married couples through improving intra-spousal communication.,,Research (published),"Young married women, contraception, community intervention",Completed,2016,MAMTA,India,Journal of Contraceptive Studies. 2016;1:4,http://contraceptivestudies.imedpub.com/encouraging-young-married-women1524-years-to-improve-intraspousalcommunication-and-contraceptive-usagethrough-community-based-inte.php?aid=11144,,Primary study,Internal,en,Y,Closed access,� Copyright iMedPub,No,"Quasi-experimental (Unmatch case-control study - 2 intervention arms in two geographic locations, one control arm; population-based household surveys) ",Young people,12,Communication intervention,19,,Low
"Bringing testing to the people - benefits of mobile unit HIV/syphilis testing in Lima, Peru, 2007-2009","Our study aimed to evaluate demographic and behavioral characteristics and HIV and syphilis prevalence and associated factors of a non-profit HIV/STI testing MU in Lima, Peru to determine whether mobile testing could provide an effective complement to traditional, clinic-based testing services.",,Research (published),Mobile testing,Completed,2014,Via Libre,Peru,Int J STD AIDS. 2014 Apr; 25(5): 325-331.,https://dx.doi.org/10.1177%2F0956462413507443,,Primary study,Internal,en,Y,Closed access,� Copyright SAGE Publications,No ,Quasi -experimental (non-equivalent groups comparison; Survey),Transgender people;Men who have sex with men,2;7,Mobile units offering HIV/STI testing services and voluntary counseling and reference services,6;26;35,Primary outcomes were HIV and syphilis prevalence and HIV prevalence among participants who have never before been tested for HIV (first-time testers) in the MU; providing HIV and Syphilis treatment,Moderate
Community systems strengthening for HIV care: Experiences from Uganda,"In Uganda, where the number of people with HIV is increasing against a background of weak health systems, the role of community systems is poorly understood. We investigated the role of community systems in palliative care and the system elements required for an effective community response in Uganda.",,Research (published),"Community mobilization, HIV",Completed,2013,Alliance Secretariat,Uganda,J Soc Work End Life Palliat Care. 2013 Oct; 9(4): 343-368.,https://doi.org/10.1080/15524256.2013.846889,,Primary study,Internal,en,Y,Open access,"� Copyright Gitau Mburu, Danielle Oxenham, Ian Hodgson, Alice Nakiyemba, Janet Seeley, and Alvaro Bermejo",No ,Observational (Focus groups; interviews),People living with HIV,2;8;11,community based pallitive care,26;34;20;5,"personal care, treatment access and adherence support, financial support, bereavement support, and care of children after the death of their parents; linking people living with HIV to a comprehensive range of services_including treatment, nutrition, and livelihood support.",Moderate
Effect of an online video-based intervention to increase HIV testing in men who have sex with men in Peru,"Although many men who have sex with men (MSM) in Peru are unaware of their HIV status, they are frequent users of the Internet, and can be approached by that medium for promotion of HIV testing",,Research (published),,Completed,2010,Via Libre,Peru,PLoS One. 2010; 5(5): e10448.,https://dx.doi.org/10.1371%2Fjournal.pone.0010448,,Primary study,Internal,en,Y,Open access,� Copyright Blas et al. ,No,Experimental (RCT),Men who have sex with men,12,HIV-testing motivational videos,6,visit to the clinic to get testing,High
"Effectiveness of an integrated community and clinic-based intervention on HIV testing, HIV knowledge, and sexual risk behavior of young men who have sex with men in Myanmar","Young men who have sex with men (YMSM) in Myanmar are disproportionately affected by HIV, with prevalence five times that of the general population. The Link Up project implemented an intervention using peer education and outreach providing education and counseling on health seeking around sexually transmitted infections and reproductive health, combined with focused clinic capacity building to improve the sexual and reproductive health of YMSM. This study aimed to evaluate the effectiveness and acceptability of the intervention.",,Research (published),KP: YMSM,Published,2017,,Myanmar,"Effectiveness of an Integrated Community- and Clinic-Based Intervention on HIV Testing, HIV Knowledge, and Sexual Risk Behavior of Young Men Who Have Sex With Men in Myanmar Poe Poe Aung, Claire Ryan, Ashish Bajracharya, Naanki Pasricha, Zaw Win Thein, Paul A. Agius, Than Tun Sein, Lisa Willenberg, Ei Mon Soe, Ne Tun Zaw, Waimar Tun, Eileen Yam, Stanley Luchters",https://doi.org/10.1016/j.jadohealth.2016.09.006,,Primary study,Internal,en,Y,Closed access,� Copyright Elsevier; Journal of Adoloscent Health,Yes,Quasi-experimental (mixed methods; pre- and post-intervention cross-sectional survey and focus groups),Men who have sex with men;Young people,12;11;7;17,"peer education and outreach providing education and counseling on health seeking around sexually transmitted infections and reproductive health, combined with focused clinic capacity building to improve the sexual and reproductive health of YMSM.",6;17,greater proportion of HIV-negative or unknown statusYMSMaccessed HIV testing in the past 3 months in intervention townships; improvements in accessing HIV-related knowledge,Moderate
Patterns of attendance at mother support groups in Zimbabwe. The EPAZ trial (2014-2016),"Women living with HIV attended MSG sessions. However, few attended regularly. Younger and newly diagnosed women were less likely to attend postpartum MSG sessions or remain in care at 12 months postpartum. Peer support models should consider specific needs of these women, especially in rural areas, in order for MSGs to contribute to improve maternal and child health outcomes.",,Research,,Published,2017,,Zimbabwe,,http://doi.org/10.1097/QAI.0000000000001348,,Primary study,Internal,en,Y,Open Access,"� Wolters Kluwer Health, Inc. All rights reserved",No,Observational (Cluster analysis and mixed-effects binomial models),People living with HIV,11;12,Mother support groups; peer psycho-social support,10;6,Increased retention in care after the first 12 months postpartum,Moderate
Impact of facility-based mother support groups on retention in care and PMTCT outcomes in rural Zimbabwe: The EPAZ cluster-randomized control trial,We were unable to show that facility-based MSGs improved retention in care at 12 months among HIV-exposed infants. Selective enrollment of mothers more likely to be retained-in-care may have contributed to lack of effect. Methods to increase the impact of MSGs on retention including targeting of high-risk mothers are discussed.,,Research,,Published,2017,,Zimbabwe,,http://doi.org/10.1097/QAI.0000000000001360,,Primary study,Internal,en,Y,Open Access,"� Wolters Kluwer Health, Inc. All rights reserved",Yes,Experimental (Cluster-Randomized Controlled Trial),People living with HIV;Young people,11;12,Mother support groups; peer psycho-social support,10;6,"Increased infant retention in care defined as �12 months postpartum point attendance""",Moderate
Impact of peer education and on site clinical services for female sex workers in Bangladesh brothels,"<p>Evaluation study conducted in Bangladesh by the Population Council for the Link Up project. May 2016. </p><p>Female sex workers who were exposed to Link Up activities were more likely to have been tested for HIV, compared to peers without such exposure. Participants felt peer educators provided valuable social support and critical health information. High abortion and STI prevalence suggest a need for programs to reinforce effective contraceptive use as well as condom consistency.</p>",,Evaluation,"KP: FSW, peer-education",Completed,2016,Population Council,Bangladesh,Published on Inspire. ,https://www.popcouncil.org/uploads/pdfs/2016HIV_LinkUp_BangladeshFSWsBrief.pdf,,Primary study,Internal,en,Y,Open Access,"� The Population Council, Inc.",Yes,Observational (bivariate analysis),Sex workers,1;2;7;11;12,"brothel-based HIV and sexual and reproductive health and rights (SRHR) intervention; ongoing face-to-face outreach with residents in the brothel in one-on-one and group sessions, providing basic information on HIV prevention and SRHR; clinic personnel providing family planning counseling and methods (pill, injectable, and male condoms), HIV testing and counseling, STI diagnosis and treatment, antenatal and postnatal care, general pediatric and adult health consultations.",17;18,improved SRHR knowledge and behaviors among women who sell sex; higher knowledge about HIV transmission; increased HIV testing; increased condom use,Moderate
An integrated peer outreach and clinic based intervention to improve the sexual health of young MSM in Myanmar,<p>Baseline and endline evaluation study conducted by the Population Council for the Link Up project (May 2016).</p><p>Peer educators played an important role in acting as referral agents and ultimately increasing MSM_s health-seeking behaviors. There was a trend toward increased HIV testing uptake after the Link Up intervention. Sexual behavior change may require more intensive and longer duration of intervention. </p>,,Evaluation,"KP: Young MSM, SRHR, peer outreach",Completed,2016,"Population Council, Alliance Myanmar, Burnet Institute and MR",Myanmar,Published on Inspire. ,https://www.popcouncil.org/uploads/pdfs/2016HIV_LinkUp_MyanmarEndlineBrief.pdf,,Primary study,Internal,en,Y,Open Access,"� The Population Council, Inc.",Yes,Quasi-experimental (pre- and post-intervention cross-sectional survey),Men who have sex with men;Young people,1;2;7;11;12,"peer-driven intervention for young MSM in Myanmar; outreach by peer educators; provided MSM in their community with condoms and lubricants, counseling, and referrals to appropriate services; a clinic based service offered HIV counseling and testing, STI screening and treatment, psychosocial support, and sexual health counseling",1;6;18;40;25;35,increased use of voluntary conselling and testing; decrease in the percentage of MSM who reported unprotected anal sex in the last 30 days; sensitizing service providers on respectful MSM treatment and care; MSM clients receiving both HIV and STI testing services,Low
Is the promise ofmethadone Kenya's solution to managing HIV and addiction? A mixed-method mathematical modelling and qualitative study,"Promoted globally as an evidence-based intervention in the prevention of HIV and treatment of heroin addiction among PWID, OST can help control emerging HIV epidemics among PWID. With implementation in December 2014, Kenya is the third Sub-Saharan African country to have introduced OST. We combine dynamic mathematical modelling with qualitative sociological research to examine the 'promise of methadone' to Kenya.",,Research (published),Harm Reduction,Completed,2015,"KANCO, LSHTM, Alliance Secretariat",Kenya,BMJ Open. 2015 Mar 6;5(3):e007198,http://dx.doi.org/10.1136/bmjopen-2014-007198,,Primary study,Internal,en,Y,Open Access,� BMJ Medical Group Ltd.,No,Quasi-experimental (mathematical modelling and qualitative data analyses),People who use drugs,10,implementing methadone in low-income settings in Kenya,12;19;29,reductions in HIV incidence and prevalence among people who inject drugs linked to the implementation of OST,High
